unit_id,weapon_name,weapon_type,base_damage,attack_count,attack_interval,range,bonus_damage,splash_type,splash_params
Marine,高斯步枪,both,6,1,0.86,5,{},none,{}
Marauder,冲击榴弹,ground,10,2,1.5,6,"{""重甲"":10}",none,{}
SiegeTank,90mm火炮,ground,15,1,1.04,7,"{""重甲"":10}",none,{}
SiegeTank,震荡炮,ground,40,1,2.14,13,"{""重甲"":30}",circular,"{""radius"":[0.4687,0.7812,1.25],""damage"":[1.0,0.5,0.25]}"
Viking,加特林机炮,ground,12,1,0.71,6,"{""机械"":8}",none,{}
Viking,兰泽鱼雷,air,10,2,1.43,9,"{""重甲"":4}",none,{}
Battlecruiser,ATA激光炮,ground,8,1,0.16,6,{},none,{}
Battlecruiser,ATS激光炮,air,6,1,0.16,6,{},none,{}
Stalker,粒子分裂炮,both,13,1,1.44,6,"{""重甲"":5}",none,{}
Immortal,相位分裂炮,ground,50,1,1.45,6,{},none,{}
Carrier,截击机,both,5,2,2.0,8,{},none,{}
Zergling,爪子,ground,5,1,0.5,0.1,{},none,{}
Hydralisk,针刺脊刺,both,12,1,0.59,5,{},none,{}
Ultralisk,凯撒之刃,ground,35,1,0.86,1,{},circular,"{""radius"":[0.5],""damage"":[1.0]}"
Tychus,迷你机枪,both,50,1,0.25,5,{},none,{}
Rattlesnake,左轮手枪,both,40,1,0.5,7,{},none,{}
Blaze,火焰喷射器,ground,20,1,0.3,3,"{""轻甲"":10}",cone,"{""angle"":60,""radius"":[3],""damage"":[1.0]}"
Nova,C20A狙击步枪,both,45,1,1.0,10,{},none,{}
GoliathMengsk,自动加农炮,ground,12,2,0.71,6,{},none,{}
GoliathMengsk,地狱火导弹,air,10,2,1.07,8,"{""轻甲"":5}",none,{}
ThorMengsk,雷神之锤,ground,30,2,2.14,7,{},circular,"{""radius"":[0.5,1.0],""damage"":[1.0,0.5]}"
ThorMengsk,标枪导弹发射器,air,12,4,2.14,10,"{""轻甲"":6}",none,{}
ThorMengsk,250mm惩罚者火炮,ground,500,1,3.0,13,{},circular,"{""radius"":[1.5],""damage"":[1.0]}"
Wrathwalker,惩戒光束,both,100,1,3.0,11,"{""建筑"":75}",none,{}
Ascendant,痛苦制裁,ground,9,1,1.75,7,{},none,{}
RaidLiberator,震荡燃料炮,air,25,1,0.86,6,{},circular,"{""radius"":[2.0],""damage"":[1.0]}"
RaidLiberator,掠袭火炮,ground,130,1,1.14,15,{},none,{}
RaidLiberator_AS15,震荡燃料炮(+15%),air,25,1,0.748,6,{},circular,"{""radius"":[2.0],""damage"":[1.0]}"
RaidLiberator_AS15,掠袭火炮(+15%),ground,130,1,0.991,15,{},none,{}
Impaler,穿刺触须,ground,40,1,1.45,11,"{""重甲"":20}",none,{}
PrimalGuardian,酸性孢子,ground,35,1,2.00,9,{},none,{}
